Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
overlay:ap-united-states-government-and-politics-overlay,assessment_unit:apusgov-evidence-analysis-and-argument,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:Q4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:Q5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:Q6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:A1,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:A2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-evidence-analysis-and-argument,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-comparative-government-and-politics-overlay,assessment_unit:apcompgov-political-systems-and-regimes,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,partially_covered,assessment_unit,,,,
assessment_unit:apcompgov-political-systems-and-regimes,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apcompgov-political-systems-and-regimes,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apcompgov-political-systems-and-regimes,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
